run_name,family,allow_reflection,patch_size,embedding_dim,temperature,negative_min_offset,negative_max_offset,half_width,num_negatives,train_size,val_size,test_size,batch_size,num_epochs,patience,lr,weight_decay,val_loss,val_positive_similarity_mean,val_negative_similarity_mean,val_logits_mean,val_hardest_negative_similarity_mean,val_positive_minus_hardest_negative_mean,val_similarity_gap,val_num_samples_evaluated,test_loss,test_positive_similarity_mean,test_negative_similarity_mean,test_logits_mean,test_hardest_negative_similarity_mean,test_positive_minus_hardest_negative_mean,test_similarity_gap,test_num_samples_evaluated
run_007_fam-euclidean_patch-9_emb-64_temp-0.07_neg-15-30,euclidean,False,9,64,0.07,15,30,14,8,20000,3000,3000,256,25,6,0.001,0.0001,1.6504097509384155,0.9650917565027872,0.08195169776678085,0.24595885586738586,0.5337443707784016,0.4313473893801371,0.8831400587360063,3000,1.649653480529785,0.9650857597986857,0.08215371988217036,0.24526968709627786,0.533921375433604,0.4311643981933594,0.8829320399165154,3000
run_033_fam-euclidean_patch-11_emb-64_temp-0.1_neg-6-30,euclidean,False,11,64,0.1,6,30,14,8,20000,3000,3000,256,25,6,0.001,0.0001,1.6615950740178427,0.9611359655062358,0.1583657357295354,0.283719212770462,0.646852981408437,0.3142829648653666,0.8027702297767004,3000,1.6607692750295002,0.9611380713780721,0.15855605812867482,0.2824054056008657,0.6468367002805074,0.3143013812700907,0.8025820132493973,3000
run_006_fam-euclidean_patch-9_emb-64_temp-0.07_neg-6-40,euclidean,False,9,64,0.07,6,40,14,8,20000,3000,3000,256,25,6,0.001,0.0001,1.6680158392588298,0.9609615626335144,0.13666478765010834,0.24363828134536744,0.6736625215212504,0.2872990412712097,0.824296774983406,3000,1.6669381135304768,0.9609581297238667,0.1370141967932383,0.2438804034392039,0.673883368174235,0.28707476337750754,0.8239439329306284,3000
run_005_fam-euclidean_patch-9_emb-64_temp-0.07_neg-6-30,euclidean,False,9,64,0.07,6,30,14,8,20000,3000,3000,256,25,6,0.001,0.0001,1.6683025131225586,0.9663716897964477,0.20023743708928426,0.23861484630902607,0.7041599146525065,0.2622117795149485,0.7661342527071635,3000,1.6675958728790283,0.9663817412058512,0.20055514681339265,0.23827122704188028,0.7043114875157674,0.2620702460606893,0.7658265943924585,3000
run_008_fam-euclidean_patch-9_emb-64_temp-0.07_neg-15-40,euclidean,False,9,64,0.07,15,40,14,8,20000,3000,3000,256,25,6,0.001,0.0001,1.6983673741022747,0.9630214459101359,0.05459427736202876,0.17716983167330425,0.5500015104611715,0.4130199387073517,0.9084271685481072,3000,1.6974348735809326,0.9630329534212748,0.05486025881767273,0.17735030881563824,0.5502066087722778,0.41282633304595945,0.9081726946036021,3000
run_027_fam-euclidean_patch-11_emb-64_temp-0.05_neg-15-30,euclidean,False,11,64,0.05,15,30,14,8,20000,3000,3000,256,25,6,0.001,0.0001,1.7134688243865968,0.9767017582257589,0.0872285615603129,0.4576633440653483,0.5736335929234823,0.4030681773026784,0.889473196665446,3000,1.712162885983785,0.9767014118830363,0.08737891852855682,0.45848887983957926,0.5736157236099243,0.40308570098876956,0.8893224933544794,3000
run_017_fam-euclidean_patch-9_emb-128_temp-0.07_neg-6-30,euclidean,False,9,128,0.07,6,30,14,8,20000,3000,3000,256,25,6,0.001,0.0001,1.7355940227508544,0.9631939509709676,0.19230330367883047,0.3068436124324799,0.7082813866933186,0.2549125618934631,0.7708906472921371,3000,1.735298594792684,0.9631833197275798,0.19258489513397217,0.3066895004113515,0.7084013164838155,0.25478198544184366,0.7705984245936076,3000
run_040_fam-euclidean_patch-11_emb-128_temp-0.05_neg-15-40,euclidean,False,11,128,0.05,15,40,14,8,20000,3000,3000,256,25,6,0.001,0.0001,1.750031751950582,0.9782404634157816,0.058002156396706896,0.28909478743871053,0.599408241589864,0.3788322123686473,0.9202383070190747,3000,1.7493999322255454,0.9782400175730387,0.058205396314462025,0.2900592251618703,0.5994413975079854,0.37879862769444783,0.9200346212585767,3000
run_012_fam-euclidean_patch-9_emb-64_temp-0.1_neg-15-40,euclidean,False,9,64,0.1,15,40,14,8,20000,3000,3000,256,25,6,0.001,0.0001,1.756864073753357,0.9541228035291036,0.059404076218605044,0.09949718149503071,0.5082371180852254,0.4458856999874115,0.8947187273104986,3000,1.7559121411641438,0.9541306964556376,0.05959751337766647,0.09902248016993205,0.5083521699905396,0.4457785475254059,0.8945331830779711,3000
run_038_fam-euclidean_patch-11_emb-128_temp-0.05_neg-6-40,euclidean,False,11,128,0.05,6,40,14,8,20000,3000,3000,256,25,6,0.001,0.0001,1.7777063620885214,0.9764332480430603,0.15017357536156972,0.30633784755071003,0.7267999873161316,0.24963324038187662,0.8262596726814906,3000,1.7771202878952026,0.9764310682614644,0.15028961165746052,0.30686263426144916,0.72675763463974,0.2496734504699707,0.826141456604004,3000
